ID_BOW,Numero_Protocolo,Empresa_Responsable,Nombre_Especimen,Investigador_Asignado,Sede_Contencion,Tipo_BOW,Cepa_Origen,Nivel_Peligro,Tipo_Contencion,Estado_Especimen,Unidades_Stock,Unidades_Activas,Unidades_Cuarentena,Unidades_Eliminadas,Peso_Promedio_kg,Altura_Promedio_m,Fecha_Creacion,Fecha_Ultimo_Reporte,Dias_En_Inventario,Comportamiento_Primario,Tasa_Mutacion_Pct,Estabilidad_Genetica_Pct,Tasa_Mortalidad_Contencion_Pct,Tasa_Fuga_Historica_Pct,Incidente_Fuga_Mas_Reciente,Bajas_Personal_Causadas,Tasa_Neutralizacion_Pct,Protocolo_Terminacion,Estado_Regulatorio,Aprobacion_Comite_Bioseguridad,Presupuesto_Mantenimiento_USD,Costo_Por_Unidad_USD,Estado_Publicacion_Interna,Clasificacion_Documental,Patentes_Bio_Aplicadas,Potencial_Armamento,Entorno_Operacion,Region_Geografica,Numero_Instalaciones,Socio_Externo_CRO,Puntuacion_Contencion,Incidentes_Protocolo,Cumplimiento_Bioseguridad_Pct,Tasa_Retencion_Especimenes_Pct,Tiempo_Desarrollo_Dias,Año_Creacion,Mes_Creacion,Trimestre_Creacion,Estado_Proyecto
BOW-4143-0011,UC-BOW-530-2017,Laboratorios Veronica S.L.,G-Adulto Fase 2,Dr. Cameron White,Torre Umbrella - Ciudad Isla,Planta Mutada,Cepa NE-α,NIVEL-1 Mínimo,Tanque Criogénico,En Pruebas,8,4,4,9,215.5,3.86,2019-11-18,2024-08-29,1746,Reactivo Calor,65.0,33.3,27.9,13.9,2020-06-06 00:00:00,113,60.5,Protocolo Tyrant-Kill,En Revisión Comité,Suspendido,1473474,355427,Clasificado Interno,CONFIDENCIAL,8,En Evaluación,Acuático,América del Norte,4,Umbrella-EU,53.5,6,65.9,52.3,2036,2019,11,Q4,Archivado
BOW-4997-0012,UC-BOW-251-2005,Blue Umbrella Ltda.,Zombie Militar,Dra. Alexia Ashford,Complejo Subterráneo NEST-2,Animal Mutado,Virus-T,NIVEL-5 Crítico,Celda Reforzada T-Metal,Cuarentena,5,3,1,28,397.8,3.9,2024-01-23,2028-05-24,1583,Reactivo Movimiento,61.7,35.2,27.9,12.4,2022-07-15 00:00:00,81,95.6,Gas VX-7,En Revisión Comité,Clasificado,3629760,445457,Archivado TS,SECRETO,7,Uso Inmediato,Acuático,Europa del Este,11,Umbrella-EU,85.9,16,79.4,62.0,1891,2024,1,Q1,Activo
BOW-3503-0013,UC-BOW-823-2011,Blue Umbrella Ltda.,Zombie Policial,Dr. Morpheus DuVall,Laboratorio Submarina Calcos,Animal Mutado,Uroboros,NIVEL-1 Mínimo,Celda Reforzada T-Metal,Degradado,16,8,5,10,348.2,3.81,2021-01-02,2022-08-20,595,Reactivo Movimiento,85.4,10.4,6.0,9.6,Sin Registro,147,56.2,Protocolo NEMESIS,Expediente Destruido,Pendiente,3321445,457452,Archivado TS,SECRETO,7,Medio,Acuático,África Sub-Sahariana,8,Laboratorios Kendo,63.3,12,89.0,92.0,612,2021,1,Q1,Archivado
BOW-7211-0014,UC-BOW-435-2011,Terrasave Biotecnología,Molde Gigante,Dr. William Birkin,Complejo de Entrenamiento Umbrella,Planta Mutada,Las Plagas,NIVEL-4 Alto,Tanque Criogénico,Cuarentena,26,18,0,2,408.0,3.75,2016-12-24,2017-02-27,65,Agresivo,62.8,33.6,18.5,1.3,2017-11-06 00:00:00,57,74.9,Sin Protocolo Asignado,Activo en Base de Datos,Aprobado,2124362,114522,Clasificado Interno,SECRETO,3,Medio,Ártico,Oriente Medio,2,Classified Partner,96.9,14,88.0,88.3,777,2016,12,Q4,Archivado
BOW-7149-0015,UC-BOW-506-2011,Blue Umbrella Ltda.,Carrier (Portador de Mutación),Dr. Viktor Drachev,Instalación de Ciudad Flotante Terragrigia,Zombie,Virus-G,NIVEL-6 EXTINCIÓN,Túnel Subterráneo Sellado,En Pruebas,46,7,10,30,689.2,3.3,2018-08-15,2022-11-03,1541,Agresivo,33.0,67.8,37.2,14.4,2022-09-11 00:00:00,10,54.0,Gas VX-7,Expediente Destruido,Aprobado,4294306,349499,No Publicado,ULTRA SECRETO,6,Uso Inmediato,Subterráneo,África Sub-Sahariana,6,Sin Socio,82.4,13,67.0,76.1,2754,2018,8,Q3,En Revisión
BOW-2419-0016,UC-BOW-385-2019,Fundación Spencer,Ivy Venenosa,Dr. Cameron White,Laboratorio Subterráneo Antartica-B,Planta Mutada,Virus-C,NIVEL-1 Mínimo,Cápsula de Gas Paralizante,Congelado Criónico,35,30,3,13,194.6,2.14,2018-10-25,2023-05-17,1665,No Responsivo,79.3,21.6,12.9,6.1,Sin Registro,71,90.7,Crioablación,Expediente Destruido,Clasificado,135153,280861,Restringido,ULTRA SECRETO,3,Uso Inmediato,Ártico,América del Sur,4,Sin Socio,78.8,15,77.9,50.9,1295,2018,10,Q4,Cerrado
BOW-6764-0017,UC-BOW-819-2019,Industrias Uroboros,Araña Gigante,Dra. Alex Wesker,Base Antártica Umbrella,Hunter,T-Abyss,NIVEL-3 Moderado,Jaula Biométrica,Eliminado,16,9,5,15,201.7,3.72,2014-01-26,2017-12-22,1426,Obediente (Verbal),54.8,43.6,39.9,13.8,2021-10-07 00:00:00,72,97.7,Sin Protocolo Asignado,Archivado,Pendiente,1958267,199205,Restringido,CONFIDENCIAL,0,En Evaluación,Urbano,Asia-Pacífico,1,Laboratorios Kendo,73.2,4,85.5,87.6,510,2014,1,Q1,Activo
BOW-2070-0018,UC-BOW-510-2020,Blue Umbrella Ltda.,Superviviente Mutado,Dra. Monica Stevens,Centro de Pruebas Arklay B3,Tyrant,T-Veronica,NIVEL-2 Bajo,Túnel Subterráneo Sellado,En Pruebas,31,30,1,10,123.0,2.24,2017-11-16,2019-07-01,592,Reactivo Calor,21.6,73.9,37.6,11.9,2023-08-07 00:00:00,57,83.5,Gas VX-7,Clasificado TS/SCI,Suspendido,2544378,460975,Archivado TS,CONFIDENCIAL,0,En Evaluación,Montañoso,América del Norte,4,BioResearch Corp.,55.9,2,66.3,58.7,397,2017,11,Q4,Cerrado
BOW-2166-0019,UC-BOW-803-2012,Industrias Uroboros,G-Adulto Fase 3,Dr. Cameron White,Centro de Pruebas Arklay B3,Zombie,Uroboros,NIVEL-1 Mínimo,Contenedor Sellado T-Rojo,Fugado,29,22,7,9,539.2,4.23,2005-01-22,2007-05-18,846,No Responsivo,7.9,90.0,11.3,21.5,Sin Registro,15,41.4,Auto-Destrucción Inducida,En Revisión Comité,Clasificado,2471041,240242,Clasificado Interno,RESERVADO,4,Uso Inmediato,Acuático,América del Sur,9,Sin Socio,66.3,19,61.6,71.6,1410,2005,1,Q1,Archivado
BOW-5415-0020,UC-BOW-690-2006,Laboratorios Veronica S.L.,Palanca (Zombie Intestinado),Dr. Richard Aiken,Centro de Pruebas Arklay B3,Animal Mutado,Las Plagas,NIVEL-2 Bajo,Contenedor Sellado T-Rojo,Degradado,6,1,5,26,529.7,2.98,2010-08-14,2010-10-15,62,Agresivo,82.4,18.5,0.8,19.1,2019-02-28 00:00:00,85,52.2,Protocolo NEMESIS,Archivado,Pendiente,3503129,373684,Archivado TS,CONFIDENCIAL,6,En Evaluación,Subterráneo,África Sub-Sahariana,2,Umbrella-EU,55.1,3,98.8,70.2,2197,2010,8,Q3,Activo
BOW-1845-0021,UC-BOW-308-2013,Laboratorios Veronica S.L.,Neptune Alfa,Dr. Alexander Ashford,Laboratorio Móvil Contenedor BX-12,Animal Mutado,Virus-G,NIVEL-1 Mínimo,Bóveda Magnética,Fugado,35,29,3,1,585.2,2.43,2019-10-02,2024-08-26,1790,Agresivo,21.9,76.7,30.3,15.6,2012-02-03 00:00:00,57,98.5,Protocolo NEMESIS,Clasificado TS/SCI,Aprobado,1341603,271292,No Publicado,CONFIDENCIAL,6,Uso Inmediato,Ártico,Europa del Este,8,Classified Partner,48.7,6,96.9,75.4,649,2019,10,Q4,Activo
BOW-9022-0022,UC-BOW-986-2009,Terrasave Biotecnología,Zombie Acuático,Dr. Alexander Ashford,Laboratorio Submarina Calcos,Experimental,Cepa NE-α,NIVEL-5 Crítico,Cápsula de Gas Paralizante,Clasificado,27,10,16,8,750.3,4.11,2011-03-14,2015-07-23,1592,Reactivo Movimiento,78.8,19.0,11.9,14.7,Sin Registro,98,46.1,Sin Protocolo Asignado,Clasificado TS/SCI,Aprobado,2719056,400439,Archivado TS,RESERVADO,6,Medio,Ártico,América del Norte,3,Classified Partner,97.9,10,94.8,93.7,1893,2011,3,Q1,Activo
BOW-6546-0023,UC-BOW-738-2017,Blue Umbrella Ltda.,Boa Constrictora Mutante,Dra. Elena Kravchenko,Centro de Pruebas Arklay B3,Planta Mutada,Virus-C,NIVEL-6 EXTINCIÓN,Bóveda Magnética,Clasificado,1,0,1,27,705.6,1.61,2016-10-18,2019-05-21,945,Agresivo,63.9,32.6,18.8,24.2,Sin Registro,73,98.8,Crioablación,Activo en Base de Datos,Suspendido,875800,408652,Clasificado Interno,RESERVADO,2,Bajo,Subterráneo,América del Norte,6,Laboratorios Kendo,57.6,11,77.2,62.2,1777,2016,10,Q4,Archivado
BOW-3344-0024,UC-BOW-337-2019,Industrias Uroboros,Ivy Venenosa,Dra. Alex Wesker,Centro de Pruebas Arklay B3,Tyrant,Progenitor Puro,NIVEL-3 Moderado,Bóveda Magnética,Eliminado,12,2,2,2,114.7,4.34,2020-04-17,2024-10-06,1633,Reactivo Calor,59.9,38.9,27.3,12.4,Sin Registro,108,77.6,Gas VX-7,Expediente Destruido,Rechazado,3277040,457393,Archivado TS,ULTRA SECRETO,3,Uso Inmediato,Tropical,Asia-Pacífico,10,Umbrella-EU,99.6,9,60.9,91.5,1711,2020,4,Q2,En Revisión
BOW-6772-0025,UC-BOW-324-2011,Industrias Uroboros,Lisa Trevor (Sujeto 13),Dr. Lance Hall,Instalación Africana Kijuju,Licker,Virus-G,NIVEL-6 EXTINCIÓN,Bóveda Magnética,Activo,44,3,38,23,288.6,2.82,2005-03-08,2008-05-20,1169,Reactivo Calor,49.7,54.3,11.4,20.0,Sin Registro,33,36.2,Auto-Destrucción Inducida,Expediente Destruido,Suspendido,1523375,115274,Restringido,CONFIDENCIAL,8,En Evaluación,Acuático,Europa del Este,5,Sin Socio,98.0,9,89.9,66.9,561,2005,3,Q1,Suspendido
BOW-5332-0026,UC-BOW-649-2008,Terrasave Biotecnología,Arañazo (Zombie Araña),Dra. Monica Stevens,Instalación Africana Kijuju,G-Type,Mutación Natural,NIVEL-4 Alto,Túnel Subterráneo Sellado,Congelado Criónico,49,14,25,30,140.2,2.2,2006-09-09,2007-07-04,298,Agresivo,81.1,19.5,3.6,9.9,2022-08-05 00:00:00,83,93.2,Protocolo Tyrant-Kill,Activo en Base de Datos,Suspendido,2584954,350388,Archivado TS,ULTRA SECRETO,2,Alto,Subterráneo,Asia-Pacífico,8,Laboratorios Kendo,45.8,17,65.4,72.7,2836,2006,9,Q3,Archivado
BOW-5583-0027,UC-BOW-133-2016,Fundación Spencer,Ivy (Planta Zombie),Dr. Alexander Ashford,Base Antártica Umbrella,Experimental,Virus-G,NIVEL-6 EXTINCIÓN,Tanque Criogénico,Congelado Criónico,48,46,0,28,104.8,2.33,2014-05-27,2017-09-20,1212,Agresivo,42.3,53.7,19.6,10.2,2020-03-14 00:00:00,23,75.7,Crioablación,En Revisión Comité,Aprobado,474283,422506,No Publicado,SECRETO,2,En Evaluación,Urbano,América del Norte,9,BioResearch Corp.,75.2,7,73.1,57.4,2531,2014,5,Q2,Activo
BOW-6869-0028,UC-BOW-908-2012,WilPharma Corp.,Tyrant T-002,Dr. Albert Wesker,Torre Umbrella - Ciudad Isla,Tyrant,T-Veronica,NIVEL-6 EXTINCIÓN,Cápsula de Gas Paralizante,Cuarentena,10,2,8,8,611.8,2.93,2011-03-22,2016-01-23,1768,No Responsivo,76.9,19.2,34.7,3.3,Sin Registro,27,61.2,Protocolo Tyrant-Kill,En Revisión Comité,Aprobado,4424249,168141,Archivado TS,ULTRA SECRETO,0,Uso Inmediato,Bunker Sellado,África Sub-Sahariana,7,Laboratorios Kendo,69.4,14,62.9,54.0,2581,2011,3,Q1,Cerrado
BOW-2624-0029,UC-BOW-912-2008,Fundación Spencer,Zombie Militar,Dr. Alexander Ashford,Laboratorio Móvil Contenedor BX-12,Zombie,Uroboros,NIVEL-3 Moderado,Túnel Subterráneo Sellado,Clasificado,18,18,0,12,355.1,3.69,2006-06-23,2007-03-18,268,Obediente (Verbal),94.5,5.8,18.1,15.1,2024-12-01 00:00:00,65,55.8,Protocolo Tyrant-Kill,Clasificado TS/SCI,Aprobado,815248,446088,Clasificado Interno,ULTRA SECRETO,6,Alto,Montañoso,Oriente Medio,6,BioResearch Corp.,73.4,18,98.3,78.1,2834,2006,6,Q2,Activo
BOW-3535-0030,UC-BOW-772-2020,Fundación Spencer,Crimson Head,Dr. William Birkin,Instalación de Ciudad Flotante Terragrigia,Experimental,Virus-G,NIVEL-3 Moderado,Contenedor Sellado T-Rojo,Fugado,43,27,1,30,657.3,4.04,2014-03-20,2016-03-23,734,No Responsivo,30.9,67.2,4.1,12.7,2023-10-06 00:00:00,142,31.8,Crioablación,Expediente Destruido,Aprobado,1563439,153272,No Publicado,CONFIDENCIAL,5,Alto,Urbano,Europa del Este,10,Sin Socio,44.2,20,98.9,54.6,2262,2014,3,Q1,Cerrado
BOW-1861-0031,UC-BOW-259-2010,Corporación Umbrella,Lisa Trevor (Sujeto 13),Dr. Oswell Spencer,Torre Umbrella - Ciudad Isla,Animal Mutado,Uroboros,NIVEL-4 Alto,Contenedor Sellado T-Rojo,Clasificado,30,10,5,11,366.5,2.15,2013-06-09,2015-10-26,869,Reactivo Calor,33.0,65.2,37.7,14.9,Sin Registro,110,37.7,Crioablación,En Revisión Comité,Suspendido,4470243,359769,No Publicado,ULTRA SECRETO,3,Uso Inmediato,Tropical,América del Norte,1,BioResearch Corp.,58.1,6,90.7,88.2,1275,2013,6,Q2,En Revisión
BOW-6802-0032,UC-BOW-173-2017,Corporación Umbrella,Zombie Militar,Dr. James Marcus,Instalación Agricultora Sheena Island,Hunter,Virus-C,NIVEL-5 Crítico,Cápsula de Gas Paralizante,Degradado,32,27,1,4,585.0,2.75,2007-09-10,2007-10-05,25,Agresivo,39.2,62.8,20.0,20.8,2017-04-14 00:00:00,43,85.3,Explosivo C4 Interno,Clasificado TS/SCI,Pendiente,789287,238962,Clasificado Interno,SECRETO,6,En Evaluación,Ártico,América del Sur,2,Sin Socio,92.2,10,68.9,89.0,402,2007,9,Q3,Archivado
BOW-3419-0033,UC-BOW-341-2008,Laboratorios Veronica S.L.,Cerbero,Dra. Alexia Ashford,Complejo Subterráneo NEST-2,Licker,Virus-G,NIVEL-2 Bajo,Túnel Subterráneo Sellado,Clasificado,34,32,0,28,403.3,3.19,2019-03-16,2019-11-14,243,Reactivo Calor,74.9,23.6,38.3,16.1,2022-08-30 00:00:00,82,89.6,Crioablación,Expediente Destruido,Rechazado,3738997,45801,Archivado TS,RESERVADO,4,Bajo,Tropical,América del Norte,6,Classified Partner,44.5,14,78.1,52.8,3496,2019,3,Q1,En Revisión
BOW-1672-0034,UC-BOW-560-2023,Fundación Spencer,Molde Gigante,Dr. Cameron White,Instalación Agricultora Sheena Island,Licker,Virus-T,NIVEL-4 Alto,Jaula Biométrica,Congelado Criónico,6,4,2,16,787.0,1.75,2006-09-21,2010-05-13,1330,Reactivo Movimiento,39.6,61.2,38.2,18.5,Sin Registro,63,78.8,Gas VX-7,En Revisión Comité,Clasificado,1381659,200787,No Publicado,CONFIDENCIAL,6,Uso Inmediato,Bunker Sellado,Asia-Pacífico,11,Classified Partner,43.1,20,85.9,53.3,477,2006,9,Q3,Archivado
BOW-3317-0035,UC-BOW-458-2014,División BioWeapon BSAA,Hunter Beta,Dr. Cameron White,Instalación Africana Kijuju,Hunter,Las Plagas,NIVEL-5 Crítico,Cápsula de Gas Paralizante,Congelado Criónico,19,8,11,27,661.8,3.51,2020-03-20,2022-05-30,801,No Responsivo,64.1,40.0,34.9,8.3,2021-10-22 00:00:00,23,74.6,Gas VX-7,En Revisión Comité,Pendiente,202928,200105,No Publicado,SECRETO,3,Bajo,Bunker Sellado,África Sub-Sahariana,4,BioResearch Corp.,100.0,4,63.1,92.2,504,2020,3,Q1,Archivado
BOW-3658-0036,UC-BOW-285-2024,Laboratorios Veronica S.L.,T-A.L.O.S,Dr. Alexander Ashford,Mansión Spencer - Arklay,Planta Mutada,Virus-C,NIVEL-6 EXTINCIÓN,Bóveda Magnética,Fugado,48,33,1,21,777.5,3.33,2022-04-17,2025-05-06,1115,No Responsivo,35.3,67.4,5.2,9.4,2020-01-26 00:00:00,59,66.8,Auto-Destrucción Inducida,Clasificado TS/SCI,Rechazado,3135673,365628,Archivado TS,RESERVADO,4,Uso Inmediato,Tropical,América del Sur,7,BioResearch Corp.,89.0,19,65.5,62.5,2716,2022,4,Q2,Suspendido
BOW-8361-0037,UC-BOW-625-2009,División BioWeapon BSAA,Super Tyrant,Dr. Rodrigo Juan Raval,Base Antártica Umbrella,Animal Mutado,Virus-C,NIVEL-1 Mínimo,Cápsula de Gas Paralizante,Activo,36,6,22,27,353.4,2.62,2024-08-09,2026-09-18,770,Autónomo,51.4,44.8,3.4,4.0,2018-05-30 00:00:00,57,31.9,Protocolo NEMESIS,Expediente Destruido,Rechazado,1204269,30081,No Publicado,RESERVADO,2,Uso Inmediato,Ártico,América del Sur,1,Laboratorios Kendo,41.1,6,93.4,77.4,3068,2024,8,Q3,Archivado
BOW-2029-0038,UC-BOW-213-2020,Corporación Umbrella,G-Adulto Fase 3,Dr. Richard Aiken,Laboratorio Subterráneo Antartica-B,Zombie,T-Veronica,NIVEL-3 Moderado,Cápsula de Gas Paralizante,Activo,8,4,1,9,515.0,2.22,2016-11-02,2019-03-28,876,Autónomo,16.0,81.4,25.6,15.6,Sin Registro,21,66.1,Auto-Destrucción Inducida,Activo en Base de Datos,Clasificado,4614090,275985,Clasificado Interno,RESERVADO,7,Alto,Montañoso,África Sub-Sahariana,6,Umbrella-EU,84.8,11,91.5,67.2,3092,2016,11,Q4,Activo
BOW-8612-0039,UC-BOW-812-2020,Laboratorios Veronica S.L.,Hunter Beta,Dr. Oswell Spencer,Instalación Africana Kijuju,Animal Mutado,Virus-T,NIVEL-3 Moderado,Celda Reforzada T-Metal,Activo,48,48,0,4,645.4,4.16,2022-04-22,2025-08-05,1201,Obediente (Verbal),9.0,91.5,32.5,4.4,2021-07-24 00:00:00,101,98.2,Explosivo C4 Interno,Clasificado TS/SCI,Pendiente,357197,404941,Restringido,CONFIDENCIAL,5,Alto,Bunker Sellado,Oriente Medio,6,Umbrella-EU,47.5,11,77.5,70.0,1891,2022,4,Q2,Suspendido
BOW-8055-0040,UC-BOW-716-2010,Industrias Uroboros,Molde Gigante,Dr. Oswell Spencer,Instalación NEST - Raccoon City,Experimental,Las Plagas,NIVEL-3 Moderado,Cápsula de Gas Paralizante,Degradado,32,31,1,29,183.3,2.83,2012-08-09,2013-09-05,392,Autónomo,76.8,20.9,3.3,10.6,Sin Registro,90,72.4,Gas VX-7,Expediente Destruido,Aprobado,679490,361893,Archivado TS,CONFIDENCIAL,8,Medio,Subterráneo,Europa del Este,10,Sin Socio,42.1,2,69.4,82.3,1573,2012,8,Q3,Suspendido
BOW-9674-0041,UC-BOW-475-2017,WilPharma Corp.,G-Adulto Fase 4,Dra. Alex Wesker,Base Antártica Umbrella,Hunter,Virus-T,NIVEL-6 EXTINCIÓN,Celda Reforzada T-Metal,Clasificado,39,9,21,14,443.1,4.24,2017-09-21,2017-12-06,76,Agresivo,90.4,8.3,30.5,14.3,Sin Registro,66,78.6,Protocolo Tyrant-Kill,En Revisión Comité,Pendiente,4170485,114951,Clasificado Interno,SECRETO,1,Uso Inmediato,Urbano,Oriente Medio,8,Laboratorios Kendo,88.6,10,86.7,85.5,2342,2017,9,Q3,Archivado
