ID_Transaccion,Fecha_Venta,Año,Mes,Trimestre,Producto,Categoria,Presentacion,Lote_ID,Fecha_Vencimiento,Proveedor,Ciudad,Region,Canal_Venta,Metodo_Pago,Estado_Pedido,Cantidad,Precio_Unitario_USD,Subtotal_USD,Descuento_Pct,Monto_Descuento_USD,Total_Neto_USD,IVA_19pct_USD,Total_Con_IVA_USD
TRX-000034,2022-01-10,2022,1,Q1,CalmEase 10mg,Sedante,Tableta,LOTE-65398,2024-08-03,Umbrella Pharma S.A.,Raccoon City,Midwest,Hospital Público,Cheque,Entregado,314,8.39,2634.46,0.0,0.0,2634.46,500.55,3135.01
TRX-000035,2022-01-10,2022,1,Q1,ViraCure X,Antiviral,Tableta,LOTE-18215,2024-11-09,Farmacéutica Arklay,Raccoon City,Midwest,Farmacia Minorista,Crédito,Entregado,22,21.84,480.48,0.0,0.0,480.48,91.29,571.77
TRX-000036,2022-01-10,2022,1,Q1,AntibioMax 500,Antibiotico,Capsula,LOTE-65654,2024-08-05,Tricell Biomedical,Lanshiang,Asia,Farmacia Minorista,Crédito,Cancelado,253,12.6,3187.8,0.0,0.0,3187.8,605.68,3793.48
TRX-000037,2022-01-10,2022,1,Q1,Aspirina 500mg,Analgesico,Tableta,LOTE-93153,2024-02-08,WilPharma Corp,Mixcoatl,South,Hospital Público,Cheque,Devuelto,236,2.44,575.84,0.0,0.0,575.84,109.41,685.25
TRX-000038,2022-01-11,2022,1,Q1,NecroCide Gel,Topico,Gel,LOTE-82109,2023-11-10,Spencer Labs,Arklay County,Midwest,Hospital Público,Transferencia,Entregado,345,11.68,4029.6,0.0,0.0,4029.6,765.62,4795.22
TRX-000039,2022-01-11,2022,1,Q1,CellRegen,Regenerador,Ampolla,LOTE-71680,2024-01-11,GenTech Medical,Harvardville,East,Distribuidor,Transferencia,Devuelto,49,108.64,5323.36,0.05,266.17,5057.19,960.87,6018.06
TRX-000040,2022-01-11,2022,1,Q1,CalmEase 10mg,Sedante,Tableta,LOTE-79855,2023-12-17,GenTech Medical,Raccoon City,Midwest,Clínica Privada,Crédito,Devuelto,475,9.45,4488.75,0.0,0.0,4488.75,852.86,5341.61
TRX-000041,2022-01-11,2022,1,Q1,Aspirina 1000mg,Analgesico,Tableta,LOTE-68407,2024-01-27,GenTech Medical,Mixcoatl,South,Online,Cheque,Entregado,59,3.62,213.58,0.0,0.0,213.58,40.58,254.16
TRX-000042,2022-01-11,2022,1,Q1,Aspirina 1000mg,Analgesico,Tableta,LOTE-94086,2023-05-27,Tricell Biomedical,Terragrigia,South,Clínica Privada,Transferencia,Entregado,170,4.5,765.0,0.0,0.0,765.0,145.35,910.35
TRX-000043,2022-01-12,2022,1,Q1,NecroCide Gel,Topico,Gel,LOTE-92881,2024-03-05,Tricell Biomedical,Sheena Island,Pacific,Farmacia Minorista,Efectivo,En tránsito,476,12.05,5735.8,0.05,286.79,5449.01,1035.31,6484.32
TRX-000044,2022-01-12,2022,1,Q1,OsseoFlex,Oseo,Tableta,LOTE-35108,2023-05-04,Civivan Laboratories,Lanshiang,Asia,Farmacia Minorista,Débito,Entregado,188,19.71,3705.48,0.05,185.27,3520.21,668.84,4189.05
TRX-000045,2022-01-12,2022,1,Q1,CalmEase 10mg,Sedante,Tableta,LOTE-34080,2023-11-30,Paraguas Distribuciones,Mixcoatl,South,Hospital Público,Efectivo,Entregado,464,8.62,3999.68,0.0,0.0,3999.68,759.94,4759.62
TRX-000046,2022-01-13,2022,1,Q1,CalmEase 10mg,Sedante,Tableta,LOTE-18418,2023-05-15,GenTech Medical,Terragrigia,South,Distribuidor,Cheque,Devuelto,271,8.5,2303.5,0.0,0.0,2303.5,437.66,2741.16
TRX-000047,2022-01-13,2022,1,Q1,Betaferon Plus,Inmunomodulador,Capsula,LOTE-46903,2023-02-12,WilPharma Corp,Lanshiang,Asia,Farmacia Minorista,Crédito,Cancelado,190,31.22,5931.8,0.15,889.77,5042.03,957.99,6000.02
TRX-000048,2022-01-13,2022,1,Q1,CalmEase 10mg,Sedante,Tableta,LOTE-84432,2024-04-08,GenTech Medical,Raccoon City,Midwest,Farmacia Minorista,Crédito,En tránsito,446,7.79,3474.34,0.15,521.15,2953.19,561.11,3514.3
TRX-000049,2022-01-14,2022,1,Q1,Adravil 200mg,Antiinflamatorio,Capsula,LOTE-89505,2023-01-25,Farmacéutica Arklay,Sheena Island,Pacific,Clínica Privada,Crédito,Devuelto,175,4.02,703.5,0.05,35.18,668.32,126.98,795.3
TRX-000050,2022-01-14,2022,1,Q1,NecroCide Gel,Topico,Gel,LOTE-85227,2024-01-05,WilPharma Corp,Sheena Island,Pacific,Farmacia Minorista,Cheque,Entregado,446,10.58,4718.68,0.05,235.93,4482.75,851.72,5334.47
TRX-000051,2022-01-14,2022,1,Q1,NecroCide Gel,Topico,Gel,LOTE-72684,2024-11-25,WilPharma Corp,Mixcoatl,South,Clínica Privada,Crédito,Entregado,51,11.23,572.73,0.0,0.0,572.73,108.82,681.55
TRX-000052,2022-01-14,2022,1,Q1,Aspirina 500mg,Analgesico,Tableta,LOTE-11408,2024-01-23,Umbrella Pharma S.A.,Harvardville,East,Hospital Público,Cheque,Cancelado,364,2.72,990.08,0.1,99.01,891.07,169.3,1060.37
TRX-000053,2022-01-14,2022,1,Q1,Aspirina 1000mg,Analgesico,Tableta,LOTE-37475,2024-06-06,Tricell Biomedical,Lanshiang,Asia,Hospital Público,Efectivo,Devuelto,55,4.07,223.85,0.05,11.19,212.66,40.41,253.07
TRX-000054,2022-01-14,2022,1,Q1,CellRegen,Regenerador,Ampolla,LOTE-97128,2023-01-22,WilPharma Corp,Harvardville,East,Clínica Privada,Crédito,Entregado,244,86.87,21196.28,0.0,0.0,21196.28,4027.29,25223.57
TRX-000055,2022-01-14,2022,1,Q1,ViraCure X,Antiviral,Tableta,LOTE-26824,2024-01-21,Farmacéutica Arklay,Mixcoatl,South,Online,Débito,En tránsito,320,25.07,8022.4,0.0,0.0,8022.4,1524.26,9546.66
TRX-000056,2022-01-14,2022,1,Q1,Neurovita Complex,Suplemento,Ampolla,LOTE-12700,2023-06-23,Tricell Biomedical,Harvardville,East,Clínica Privada,Efectivo,Entregado,131,17.04,2232.24,0.05,111.61,2120.63,402.92,2523.55
TRX-000057,2022-01-14,2022,1,Q1,NecroCide Gel,Topico,Gel,LOTE-46713,2024-10-12,Civivan Laboratories,Lanshiang,Asia,Distribuidor,Cheque,Devuelto,485,12.06,5849.1,0.0,0.0,5849.1,1111.33,6960.43
TRX-000058,2022-01-15,2022,1,Q1,OsseoFlex,Oseo,Tableta,LOTE-34603,2024-02-01,BioHazard Supplies,Raccoon City,Midwest,Online,Cheque,En tránsito,307,20.66,6342.62,0.1,634.26,5708.36,1084.59,6792.95
TRX-000059,2022-01-15,2022,1,Q1,ViraCure X,Antiviral,Tableta,LOTE-94440,2023-02-20,WilPharma Corp,Lanshiang,Asia,Clínica Privada,Cheque,En tránsito,135,22.79,3076.65,0.05,153.83,2922.82,555.34,3478.16
TRX-000060,2022-01-15,2022,1,Q1,ThermoShield,Antipiretico,Jarabe,LOTE-50814,2024-08-12,Tricell Biomedical,Lanshiang,Asia,Farmacia Minorista,Transferencia,Entregado,21,8.56,179.76,0.15,26.96,152.8,29.03,181.83
TRX-000061,2022-01-15,2022,1,Q1,ThermoShield,Antipiretico,Jarabe,LOTE-97070,2024-02-27,Umbrella Pharma S.A.,Lanshiang,Asia,Distribuidor,Efectivo,Entregado,329,6.89,2266.81,0.1,226.68,2040.13,387.62,2427.75
TRX-000062,2022-01-16,2022,1,Q1,Aspirina 1000mg,Analgesico,Tableta,LOTE-74956,2024-07-13,Farmacéutica Arklay,Harvardville,East,Clínica Privada,Débito,Entregado,167,3.97,662.99,0.0,0.0,662.99,125.97,788.96
TRX-000063,2022-01-16,2022,1,Q1,Aspirina 500mg,Analgesico,Tableta,LOTE-43529,2024-06-03,WilPharma Corp,Mixcoatl,South,Farmacia Minorista,Crédito,Entregado,274,2.39,654.86,0.05,32.74,622.12,118.2,740.32
TRX-000064,2022-01-16,2022,1,Q1,Adravil 400mg,Antiinflamatorio,Capsula,LOTE-37924,2023-10-16,GenTech Medical,Edonia,Europe,Distribuidor,Efectivo,Cancelado,388,6.45,2502.6,0.15,375.39,2127.21,404.17,2531.38
TRX-000065,2022-01-16,2022,1,Q1,Adravil 400mg,Antiinflamatorio,Capsula,LOTE-36860,2023-11-08,Spencer Labs,Harvardville,East,Farmacia Minorista,Cheque,Entregado,89,6.36,566.04,0.1,56.6,509.44,96.79,606.23
TRX-000066,2022-01-17,2022,1,Q1,Aspirina 500mg,Analgesico,Tableta,LOTE-50211,2023-04-21,WilPharma Corp,Raccoon City,Midwest,Distribuidor,Efectivo,Entregado,316,2.64,834.24,0.15,125.14,709.1,134.73,843.83
TRX-000067,2022-01-17,2022,1,Q1,OsseoFlex,Oseo,Tableta,LOTE-50034,2023-05-26,Paraguas Distribuciones,Lanshiang,Asia,Hospital Público,Efectivo,Devuelto,14,19.72,276.08,0.0,0.0,276.08,52.46,328.54
TRX-000068,2022-01-17,2022,1,Q1,Hemostabil,Coagulante,Inyectable,LOTE-27001,2023-07-31,Umbrella Pharma S.A.,Raccoon City,Midwest,Hospital Público,Crédito,Entregado,242,47.01,11376.42,0.0,0.0,11376.42,2161.52,13537.94
TRX-000069,2022-01-17,2022,1,Q1,Aspirina 500mg,Analgesico,Tableta,LOTE-23693,2024-01-03,Civivan Laboratories,Edonia,Europe,Distribuidor,Crédito,Entregado,265,2.34,620.1,0.05,31.01,589.09,111.93,701.02
TRX-000070,2022-01-17,2022,1,Q1,Adravil 400mg,Antiinflamatorio,Capsula,LOTE-15686,2024-12-06,Paraguas Distribuciones,Sheena Island,Pacific,Online,Transferencia,Entregado,346,7.5,2595.0,0.0,0.0,2595.0,493.05,3088.05
TRX-000071,2022-01-17,2022,1,Q1,ThermoShield,Antipiretico,Jarabe,LOTE-63917,2024-09-08,GenTech Medical,Mixcoatl,South,Online,Débito,Entregado,53,7.94,420.82,0.1,42.08,378.74,71.96,450.7
TRX-000072,2022-01-18,2022,1,Q1,Aspirina 500mg,Analgesico,Tableta,LOTE-57346,2024-09-05,Umbrella Pharma S.A.,Arklay County,Midwest,Farmacia Minorista,Crédito,Cancelado,386,2.49,961.14,0.0,0.0,961.14,182.62,1143.76
TRX-000073,2022-01-18,2022,1,Q1,OsseoFlex,Oseo,Tableta,LOTE-18695,2025-01-02,Civivan Laboratories,Arklay County,Midwest,Clínica Privada,Transferencia,Entregado,340,19.23,6538.2,0.1,653.82,5884.38,1118.03,7002.41
TRX-000074,2022-01-18,2022,1,Q1,NecroCide Gel,Topico,Gel,LOTE-15896,2024-07-30,Tricell Biomedical,Arklay County,Midwest,Online,Cheque,Entregado,92,10.61,976.12,0.1,97.61,878.51,166.92,1045.43
TRX-000075,2022-01-18,2022,1,Q1,ThermoShield,Antipiretico,Jarabe,LOTE-12727,2024-09-12,BioHazard Supplies,Sheena Island,Pacific,Clínica Privada,Efectivo,Entregado,367,7.4,2715.8,0.0,0.0,2715.8,516.0,3231.8
TRX-000076,2022-01-18,2022,1,Q1,NecroCide Gel,Topico,Gel,LOTE-48565,2024-04-06,Farmacéutica Arklay,Edonia,Europe,Farmacia Minorista,Crédito,Cancelado,444,12.42,5514.48,0.0,0.0,5514.48,1047.75,6562.23
TRX-000077,2022-01-19,2022,1,Q1,Neurovita Complex,Suplemento,Ampolla,LOTE-61786,2024-11-20,GenTech Medical,Arklay County,Midwest,Hospital Público,Cheque,Devuelto,455,14.59,6638.45,0.0,0.0,6638.45,1261.31,7899.76
TRX-000078,2022-01-19,2022,1,Q1,Hemostabil,Coagulante,Inyectable,LOTE-10254,2023-07-15,Umbrella Pharma S.A.,Sheena Island,Pacific,Farmacia Minorista,Transferencia,Cancelado,428,45.79,19598.12,0.0,0.0,19598.12,3723.64,23321.76
TRX-000079,2022-01-19,2022,1,Q1,CellRegen,Regenerador,Ampolla,LOTE-18603,2023-12-10,Umbrella Pharma S.A.,Tall Oaks,East,Farmacia Minorista,Crédito,Entregado,264,106.64,28152.96,0.0,0.0,28152.96,5349.06,33502.02
TRX-000080,2022-01-19,2022,1,Q1,Adravil 200mg,Antiinflamatorio,Capsula,LOTE-11571,2024-08-15,Umbrella Pharma S.A.,Terragrigia,South,Farmacia Minorista,Débito,Entregado,431,4.52,1948.12,0.15,292.22,1655.9,314.62,1970.52
TRX-000081,2022-01-19,2022,1,Q1,Aspirina 500mg,Analgesico,Tableta,LOTE-92445,2024-02-29,BioHazard Supplies,Sheena Island,Pacific,Distribuidor,Débito,Entregado,35,2.29,80.15,0.0,0.0,80.15,15.23,95.38
TRX-000082,2022-01-19,2022,1,Q1,Adravil 200mg,Antiinflamatorio,Capsula,LOTE-48311,2024-09-21,Paraguas Distribuciones,Harvardville,East,Clínica Privada,Efectivo,Cancelado,206,3.93,809.58,0.15,121.44,688.14,130.75,818.89
TRX-000083,2022-01-20,2022,1,Q1,Betaferon Plus,Inmunomodulador,Capsula,LOTE-24486,2023-06-23,Paraguas Distribuciones,Lanshiang,Asia,Online,Transferencia,Entregado,81,28.86,2337.66,0.15,350.65,1987.01,377.53,2364.54
TRX-000084,2022-01-20,2022,1,Q1,Adravil 400mg,Antiinflamatorio,Capsula,LOTE-36119,2024-03-03,Spencer Labs,Harvardville,East,Hospital Público,Efectivo,Devuelto,420,7.19,3019.8,0.05,150.99,2868.81,545.07,3413.88
TRX-000085,2022-01-20,2022,1,Q1,Adravil 400mg,Antiinflamatorio,Capsula,LOTE-25985,2023-09-29,Paraguas Distribuciones,Tall Oaks,East,Clínica Privada,Efectivo,Entregado,50,6.88,344.0,0.0,0.0,344.0,65.36,409.36
TRX-000086,2022-01-20,2022,1,Q1,OsseoFlex,Oseo,Tableta,LOTE-40724,2023-12-07,Paraguas Distribuciones,Harvardville,East,Farmacia Minorista,Débito,Cancelado,360,16.8,6048.0,0.1,604.8,5443.2,1034.21,6477.41
TRX-000087,2022-01-20,2022,1,Q1,Neurovita Complex,Suplemento,Ampolla,LOTE-54070,2024-04-05,Tricell Biomedical,Harvardville,East,Hospital Público,Transferencia,En tránsito,388,17.09,6630.92,0.15,994.64,5636.28,1070.89,6707.17
TRX-000088,2022-01-20,2022,1,Q1,NecroCide Gel,Topico,Gel,LOTE-58023,2023-02-14,Umbrella Pharma S.A.,Harvardville,East,Online,Transferencia,En tránsito,2,11.36,22.72,0.15,3.41,19.31,3.67,22.98
TRX-000089,2022-01-20,2022,1,Q1,OsseoFlex,Oseo,Tableta,LOTE-53772,2023-02-24,BioHazard Supplies,Arklay County,Midwest,Farmacia Minorista,Cheque,Entregado,390,17.29,6743.1,0.0,0.0,6743.1,1281.19,8024.29
TRX-000090,2022-01-20,2022,1,Q1,PlasmaTec,Plasma Sintetico,Inyectable,LOTE-69665,2024-02-16,Umbrella Pharma S.A.,Arklay County,Midwest,Farmacia Minorista,Débito,Devuelto,54,123.02,6643.08,0.05,332.15,6310.93,1199.08,7510.01
TRX-000091,2022-01-20,2022,1,Q1,PlasmaTec,Plasma Sintetico,Inyectable,LOTE-84871,2024-11-13,Umbrella Pharma S.A.,Lanshiang,Asia,Clínica Privada,Efectivo,Devuelto,106,128.39,13609.34,0.0,0.0,13609.34,2585.77,16195.11
TRX-000092,2022-01-20,2022,1,Q1,NecroCide Gel,Topico,Gel,LOTE-49775,2023-07-30,Spencer Labs,Mixcoatl,South,Clínica Privada,Cheque,Entregado,260,10.11,2628.6,0.0,0.0,2628.6,499.43,3128.03
TRX-000093,2022-01-20,2022,1,Q1,NecroCide Gel,Topico,Gel,LOTE-27453,2023-12-28,Paraguas Distribuciones,Arklay County,Midwest,Hospital Público,Cheque,Entregado,310,10.66,3304.6,0.1,330.46,2974.14,565.09,3539.23
TRX-000094,2022-01-21,2022,1,Q1,AntibioMax 500,Antibiotico,Capsula,LOTE-16202,2024-12-02,Tricell Biomedical,Tall Oaks,East,Farmacia Minorista,Crédito,Cancelado,477,15.42,7355.34,0.0,0.0,7355.34,1397.51,8752.85
TRX-000095,2022-01-22,2022,1,Q1,ViraCure X,Antiviral,Tableta,LOTE-71912,2024-01-11,Paraguas Distribuciones,Edonia,Europe,Hospital Público,Crédito,Entregado,191,22.33,4265.03,0.0,0.0,4265.03,810.36,5075.39
TRX-000096,2022-01-22,2022,1,Q1,Adravil 400mg,Antiinflamatorio,Capsula,LOTE-29233,2023-03-27,Tricell Biomedical,Mixcoatl,South,Distribuidor,Crédito,Cancelado,402,7.05,2834.1,0.0,0.0,2834.1,538.48,3372.58
TRX-000097,2022-01-22,2022,1,Q1,CalmEase 10mg,Sedante,Tableta,LOTE-99736,2024-01-31,WilPharma Corp,Sheena Island,Pacific,Farmacia Minorista,Transferencia,Cancelado,218,8.57,1868.26,0.1,186.83,1681.43,319.47,2000.9
TRX-000098,2022-01-22,2022,1,Q1,PlasmaTec,Plasma Sintetico,Inyectable,LOTE-99254,2023-04-21,WilPharma Corp,Tall Oaks,East,Online,Efectivo,En tránsito,44,109.32,4810.08,0.0,0.0,4810.08,913.92,5724.0
TRX-000099,2022-01-23,2022,1,Q1,NecroCide Gel,Topico,Gel,LOTE-26764,2024-05-31,Umbrella Pharma S.A.,Raccoon City,Midwest,Online,Cheque,Devuelto,162,10.36,1678.32,0.1,167.83,1510.49,286.99,1797.48
TRX-000100,2022-01-24,2022,1,Q1,Hemostabil,Coagulante,Inyectable,LOTE-98999,2024-09-16,BioHazard Supplies,Edonia,Europe,Clínica Privada,Crédito,Entregado,202,45.51,9193.02,0.0,0.0,9193.02,1746.67,10939.69
TRX-000101,2022-01-24,2022,1,Q1,CellRegen,Regenerador,Ampolla,LOTE-40411,2024-04-25,Civivan Laboratories,Edonia,Europe,Farmacia Minorista,Crédito,Devuelto,446,90.47,40349.62,0.0,0.0,40349.62,7666.43,48016.05
TRX-000102,2022-01-24,2022,1,Q1,Aspirina 500mg,Analgesico,Tableta,LOTE-88223,2025-01-04,Tricell Biomedical,Arklay County,Midwest,Farmacia Minorista,Efectivo,Devuelto,484,2.28,1103.52,0.15,165.53,937.99,178.22,1116.21
TRX-000103,2022-01-24,2022,1,Q1,Adravil 200mg,Antiinflamatorio,Capsula,LOTE-56837,2024-01-30,Spencer Labs,Arklay County,Midwest,Online,Transferencia,Devuelto,270,4.67,1260.9,0.0,0.0,1260.9,239.57,1500.47
TRX-000104,2022-01-24,2022,1,Q1,AntibioMax 500,Antibiotico,Capsula,LOTE-65477,2023-04-11,Spencer Labs,Mixcoatl,South,Clínica Privada,Crédito,Entregado,351,16.03,5626.53,0.0,0.0,5626.53,1069.04,6695.57
