"ID_Reporte","Fecha_Emision","Fecha_Auditoria_Forense","Investigador_Responsable","Comite_Aprobador","Ensayo_Asociado","Sede","ID_Sujeto_Principal","Num_Sujetos_Declarados","Num_Sujetos_Real","Tasa_Exito_Declarada_Pct","Tasa_Exito_Real_Pct","Muertes_Reportadas","Muertes_Reales_Estimadas","Tipo_Alteracion_Principal","Num_Alteraciones_Detectadas","Clasificacion_Documento","Nivel_Riesgo_Fraude","Score_Fraude_0_100","Estado_Auditoria","Auditado_Por","Observaciones"
"RBF-00024","2018-10-01","2019-09-16","Dra. Spencer, A.","Comité de Revisión Externe BSAA","Prueba NE-α","Lab Urbano RC-04","SUJ-1913","49","50","73.78","56.98","4","6","Supresión de muestra contaminada","17","CONFIDENCIAL","Alto","45.7","Archivado","AUD-298","Testigo externo reporta irregularidades."
"RBF-00025","2012-04-18","2013-05-29","Dra. Novak, H.","Comité Ético NEST-Arklay","Estudio Uroboros","Mobile Unit Delta","SUJ-7412","59","68","82.86","31.06","1","5","Omisión de muerte no reportada","4","CONFIDENCIAL","Alto","89","Fraude confirmado","AUD-639","Hash de documento no coincide con archivo original."
"RBF-00026","2018-04-17","2019-03-19","Dra. Okafor, B.","Panel Clínico Raccoon City","Fase Gamma-Licker","Spencer Estate Lab","SUJ-5315","42","46","75.03","41.22","4","11","Modificación de resultado post-mortem","4","RESTRINGIDO","Medio","48.3","En revisión","AUD-303","Protocolo no seguido, datos fabricados."
"RBF-00027","2014-03-25","2014-09-11","Dra. Vega, N.","Comité Ético NEST-Arklay","Estudio Uroboros","Laboratorio Remoto Dulvey","SUJ-9105","60","71","87.93","71.77","2","9","Reemplazo de sujeto de prueba","16","ULTRA SECRETO","Medio","28.4","En revisión","AUD-864","Aprobación ética emitida retroactivamente."
"RBF-00028","2020-01-11","2021-03-07","Dra. Reed, L.","Comité Internacional de Bioética","Prueba NE-α","Centro de Investigación Kijuju","SUJ-7189","80","98","96.4","53.81","0","7","Supresión de muestra contaminada","17","USO INTERNO","Alto","55.1","Escalado a fiscal","AUD-359","Muestra biológica alterada post-análisis."
"RBF-00029","2019-04-15","2019-09-28","Dr. Ashford, E.","Comité Ético NEST-Arklay","Protocolo G-Virus","Laboratorio Remoto Dulvey","SUJ-6779","15","16","89.21","54.94","4","9","Manipulación de estadística de éxito","3","ULTRA SECRETO","Bajo","31.8","Escalado a fiscal","AUD-486","Muestra biológica alterada post-análisis."
"RBF-00030","2019-11-12","2021-09-28","Dra. Vega, N.","Comité Internacional de Bioética","Protocolo Eveline","Raccoon City Hospital","SUJ-5660","62","67","74","54.03","2","2","Falsificación de firma de consentimiento","7","USO INTERNO","Medio","47.7","Escalado a fiscal","AUD-499","Datos duplicados de ensayo anterior."
"RBF-00031","2018-02-10","2020-02-03","Dr. Yamamoto, K.","Junta de Supervisión STARS","Protocolo Umbrella-X","Spencer Estate Lab","SUJ-6250","62","76","81.22","57.65","1","11","Manipulación de dosis registrada","5","ULTRA SECRETO","Bajo","45.4","Archivado","AUD-717","Firmas no coinciden con fecha declarada."
"RBF-00032","2016-09-14","2017-03-09","Dra. Vega, N.","Junta de Supervisión STARS","Ensayo Mold-E-Variant","NEST Underground","SUJ-2006","47","54","86.32","68.74","0","9","Modificación de resultado post-mortem","3","CONFIDENCIAL","Bajo","89.9","En revisión","AUD-873","Muestra biológica alterada post-análisis."
"RBF-00033","2014-06-21","2014-09-29","Dra. Okafor, B.","Junta de Supervisión STARS","Estudio Uroboros","Spencer Estate Lab","SUJ-1461","62","77","82.48","44.51","4","15","Alteración de fechas de aplicación","12","CONFIDENCIAL","Crítico","35.4","Archivado","AUD-123","Resultados estadísticos inconsistentes."
"RBF-00034","2017-01-13","2018-08-09","Dr. Isaacs, S.","Junta de Supervisión STARS","Estudio Plagas-Las Illuminadas","Raccoon City Hospital","SUJ-1739","51","69","93.67","53.79","2","7","Supresión de muestra contaminada","9","CONFIDENCIAL","Medio","71.1","Escalado a fiscal","AUD-635","Datos duplicados de ensayo anterior."
"RBF-00035","2018-08-10","2020-04-07","Dra. Singh, A.","Panel Clínico Raccoon City","Estudio Uroboros","Satellite Lab B-17","SUJ-3100","55","72","93.18","57.95","0","11","Omisión de efectos adversos","3","CONFIDENCIAL","Crítico","39.9","Pendiente","AUD-222","Resultados estadísticos inconsistentes."
"RBF-00036","2015-02-13","2015-03-23","Dra. Novak, H.","Junta de Supervisión STARS","Investigación Las Plagas Fase III","Facility Salazar","SUJ-7003","64","80","87.91","40.23","0","10","Supresión de muestra contaminada","3","ULTRA SECRETO","Alto","69.4","Escalado a fiscal","AUD-363","Aprobación ética emitida retroactivamente."
"RBF-00037","2021-01-28","2022-11-13","Dr. Isaacs, S.","Panel de Cumplimiento Viral","Estudio Megamycete","Mobile Unit Delta","SUJ-6715","3","3","81.71","32.27","3","12","Fabricación de consentimiento informado","16","CONFIDENCIAL","Crítico","23.2","Fraude confirmado","AUD-401","Hash de documento no coincide con archivo original."
"RBF-00038","2021-09-30","2023-08-26","Dr. Mendoza, F.","Comité Internacional de Bioética","Fase Miranda-Prime","Laboratorio Remoto Dulvey","SUJ-1440","51","61","78.64","39.02","0","6","Reemplazo de sujeto de prueba","13","RESTRINGIDO","Medio","25.5","Fraude confirmado","AUD-721","Hash de documento no coincide con archivo original."
"RBF-00039","2012-01-27","2012-08-12","Dra. Vega, N.","Comité de Revisión Externe BSAA","Proyecto Némesis","Centro de Investigación Kijuju","SUJ-6591","7","10","74.75","59.24","2","10","Omisión de efectos adversos","6","RESTRINGIDO","Bajo","73.9","Fraude confirmado","AUD-643","Resultados estadísticos inconsistentes."
"RBF-00040","2020-07-05","2021-10-28","Dra. Reed, L.","Panel Clínico Raccoon City","Protocolo G-Virus","Facility Salazar","SUJ-7235","21","26","81.23","38.42","1","12","Omisión de efectos adversos","1","CONFIDENCIAL","Bajo","61.2","Fraude confirmado","AUD-500","Sujeto registrado fallecido antes del ensayo."
"RBF-00041","2021-01-13","2022-02-06","Dr. Ashford, E.","Comité de Revisión Umbrella Corp.","Fase Miranda-Prime","Facility Salazar","SUJ-2594","73","79","82.74","51.02","3","10","Reemplazo de sujeto de prueba","11","CONFIDENCIAL","Crítico","55.5","Pendiente","AUD-144","Muestra biológica alterada post-análisis."
"RBF-00042","2013-10-15","2014-06-20","Dr. Isaacs, S.","Comité de Ética Médica T-Sector","Protocolo G-Virus","Laboratorio Remoto Dulvey","SUJ-8014","39","46","89.57","51.95","2","12","Falsificación de aprobación ética","3","ULTRA SECRETO","Bajo","54.3","Escalado a fiscal","AUD-240","Muestra biológica alterada post-análisis."
"RBF-00043","2019-10-30","2021-09-02","Dr. Yamamoto, K.","Junta de Supervisión STARS","Fase C-Virus Alpha","Spencer Estate Lab","SUJ-6654","18","27","89.11","48.15","2","13","Reemplazo de sujeto de prueba","11","RESTRINGIDO","Crítico","84.7","Escalado a fiscal","AUD-719","Resultados estadísticos inconsistentes."
"RBF-00044","2016-09-27","2017-03-31","Dra. Vega, N.","Panel Bioético Sector B","Ensayo Mold-E-Variant","Raccoon City Hospital","SUJ-6855","4","20","73.82","44.81","2","9","Datos de control fabricados","15","ULTRA SECRETO","Alto","46.1","En revisión","AUD-828","Consentimiento firmado bajo coerción."
"RBF-00045","2015-10-25","2017-01-18","Dr. Chen, W.","Comité de Revisión Umbrella Corp.","Estudio Megamycete","Lab Urbano RC-04","SUJ-7749","60","71","82.28","30.6","4","10","Supresión de muestra contaminada","3","ULTRA SECRETO","Bajo","43.8","Escalado a fiscal","AUD-514","Sujeto registrado fallecido antes del ensayo."
"RBF-00046","2015-02-12","2016-12-03","Dr. Isaacs, S.","Comité de Revisión Umbrella Corp.","Estudio Plagas-Las Illuminadas","Centro de Investigación Kijuju","SUJ-6755","14","21","76.73","56.37","4","5","Falsificación de aprobación ética","12","CONFIDENCIAL","Medio","67.7","Fraude confirmado","AUD-912","Consentimiento firmado bajo coerción."
"RBF-00047","2013-09-28","2015-01-24","Dr. Ashford, E.","Comité de Revisión Umbrella Corp.","Protocolo Umbrella-X","Satellite Lab B-17","SUJ-1924","9","20","76.08","34.22","1","1","Alteración de muestra de tejido","12","USO INTERNO","Alto","74.6","Archivado","AUD-438","Firmas no coinciden con fecha declarada."
"RBF-00048","2014-05-31","2015-02-07","Dr. Dubois, L.","Comité de Revisión Externe BSAA","Ensayo Mutación Hunter","NEST Underground","SUJ-5001","53","69","93.51","78.34","2","3","Reemplazo de sujeto de prueba","17","ULTRA SECRETO","Medio","69.6","Escalado a fiscal","AUD-330","Muestra biológica alterada post-análisis."
"RBF-00049","2022-09-25","2023-01-21","Dra. Reyes, P.","Junta Regulatoria Nemesis Div.","Proyecto Excella","Lab Urbano RC-04","SUJ-5056","2","4","73.09","21.1","4","9","Fabricación de consentimiento informado","1","USO INTERNO","Medio","79.2","En revisión","AUD-287","Resultados estadísticos inconsistentes."
"RBF-00050","2020-07-24","2020-12-03","Dr. Torres, C.","Panel de Cumplimiento Viral","Estudio Megamycete","Centro de Investigación Kijuju","SUJ-4844","84","97","82.9","63.4","4","5","Datos de control fabricados","11","USO INTERNO","Crítico","99.1","Escalado a fiscal","AUD-803","Firmas no coinciden con fecha declarada."
"RBF-00051","2015-10-10","2016-03-31","Dra. Spencer, A.","Junta Regulatoria Nemesis Div.","Fase Gamma-Licker","Spencer Estate Lab","SUJ-6113","60","71","76.37","57.57","4","13","Supresión de muestra contaminada","15","RESTRINGIDO","Medio","79.1","En revisión","AUD-669","Consentimiento firmado bajo coerción."
"RBF-00052","2013-02-22","2013-07-28","Dra. Vega, N.","Comité de Revisión Umbrella Corp.","Estudio Megamycete","Lab Urbano RC-04","SUJ-2391","71","75","94.86","66.54","1","4","Manipulación de estadística de éxito","9","RESTRINGIDO","Alto","42.2","Archivado","AUD-826","Aprobación ética emitida retroactivamente."
"RBF-00053","2013-01-14","2014-10-09","Dr. Salazar, R.","Panel de Cumplimiento Viral","Protocolo Eveline","Facility Salazar","SUJ-2073","44","56","86.48","56.54","1","10","Omisión de muerte no reportada","7","USO INTERNO","Alto","38.6","En revisión","AUD-328","Protocolo no seguido, datos fabricados."
"RBF-00054","2016-04-05","2017-06-02","Dr. Chen, W.","Comité Ético NEST-Arklay","Proyecto Excella","Mobile Unit Delta","SUJ-5995","8","18","78.02","54.45","2","4","Omisión de muerte no reportada","11","CONFIDENCIAL","Alto","70.7","Escalado a fiscal","AUD-986","Hash de documento no coincide con archivo original."
"RBF-00055","2013-01-31","2014-02-24","Dr. Ashford, E.","Comité de Revisión Externe BSAA","Prueba NE-α","Laboratorio Remoto Dulvey","SUJ-2875","47","62","85.06","46.66","3","8","Alteración de muestra de tejido","7","USO INTERNO","Crítico","88.2","Pendiente","AUD-178","Firmas no coinciden con fecha declarada."
"RBF-00056","2016-01-10","2017-04-23","Dra. Singh, A.","Junta de Supervisión STARS","Proyecto Excella","NEST Underground","SUJ-6531","35","44","91.02","58.3","2","13","Supresión de reacción alérgica severa","15","RESTRINGIDO","Crítico","25.1","Pendiente","AUD-452","Testigo externo reporta irregularidades."
"RBF-00057","2021-07-03","2022-06-20","Dr. Salazar, R.","Junta de Supervisión STARS","Fase Gamma-Licker","Mobile Unit Delta","SUJ-3781","78","85","96.91","80.54","4","15","Datos de control fabricados","16","ULTRA SECRETO","Medio","43.1","Archivado","AUD-778","Datos duplicados de ensayo anterior."
"RBF-00058","2015-11-09","2016-04-30","Dr. Marcus, J.","Comité de Revisión Externe BSAA","Protocolo Umbrella-X","Spencer Estate Lab","SUJ-1322","81","86","77.73","49.94","4","11","Alteración de muestra de tejido","15","USO INTERNO","Crítico","45.2","Fraude confirmado","AUD-306","Testigo externo reporta irregularidades."
"RBF-00059","2018-10-08","2019-07-18","Dr. Salazar, R.","Comité de Revisión Umbrella Corp.","Investigación Las Plagas Fase III","Centro de Investigación Kijuju","SUJ-9821","36","55","95.04","47.62","0","10","Reemplazo de sujeto de prueba","4","USO INTERNO","Medio","52","Pendiente","AUD-122","Firmas no coinciden con fecha declarada."
"RBF-00060","2014-12-19","2015-10-28","Dra. Petrova, I.","Junta de Supervisión STARS","Estudio Plagas-Las Illuminadas","Raccoon City Hospital","SUJ-6343","50","69","96.29","53.7","2","7","Datos de control fabricados","3","ULTRA SECRETO","Bajo","89","Fraude confirmado","AUD-590","Testigo externo reporta irregularidades."
"RBF-00061","2021-01-18","2022-12-09","Dr. Mendoza, F.","Junta Regulatoria Nemesis Div.","Proyecto Excella","Arklay Mountain Lab","SUJ-1612","4","6","95.83","51.84","4","5","Reemplazo de sujeto de prueba","14","ULTRA SECRETO","Bajo","72.1","Escalado a fiscal","AUD-117","Testigo externo reporta irregularidades."
"RBF-00062","2012-06-26","2012-10-20","Dr. Marcus, J.","Junta de Supervisión STARS","Experimento Wesker","NEST Underground","SUJ-8551","2","21","88.52","45.6","4","8","Datos de control fabricados","3","CONFIDENCIAL","Bajo","42.3","Escalado a fiscal","AUD-577","Aprobación ética emitida retroactivamente."
"RBF-00063","2020-03-07","2020-12-16","Dr. Salazar, R.","Panel Bioético Sector B","Ensayo Mutación Hunter","NEST Underground","SUJ-7921","6","15","88.38","60.94","3","13","Falsificación de firma de consentimiento","16","USO INTERNO","Bajo","90.6","Fraude confirmado","AUD-715","Resultados estadísticos inconsistentes."
"RBF-00064","2017-02-24","2018-10-13","Dr. Salazar, R.","Comité de Ética Médica T-Sector","Proyecto Excella","Satellite Lab B-17","SUJ-9433","54","71","82.48","63.49","0","5","Falsificación de aprobación ética","15","CONFIDENCIAL","Medio","73.2","En revisión","AUD-917","Testigo externo reporta irregularidades."
"RBF-00065","2018-01-05","2019-10-12","Dr. Marcus, J.","Panel Clínico Raccoon City","Ensayo Mold-E-Variant","Arklay Mountain Lab","SUJ-7900","4","13","91.56","65.66","2","10","Omisión de efectos adversos","10","ULTRA SECRETO","Crítico","65.3","Archivado","AUD-206","Resultados estadísticos inconsistentes."
"RBF-00066","2013-05-26","2015-03-01","Dr. Dubois, L.","Junta de Supervisión STARS","Ensayo Mutación Hunter","Facility Salazar","SUJ-5368","54","66","85.81","37.54","1","6","Fabricación de consentimiento informado","17","CONFIDENCIAL","Alto","59.1","Fraude confirmado","AUD-732","Resultados estadísticos inconsistentes."
"RBF-00067","2022-11-29","2024-09-11","Dr. Ashford, E.","Comité Ético NEST-Arklay","Estudio Uroboros","Mobile Unit Delta","SUJ-1334","63","76","89.61","35.39","2","11","Omisión de muerte no reportada","4","ULTRA SECRETO","Bajo","83.7","Archivado","AUD-143","Testigo externo reporta irregularidades."
"RBF-00068","2022-05-05","2023-03-22","Dra. Petrova, I.","Comité de Ética Médica T-Sector","Proyecto Némesis","Raccoon City Hospital","SUJ-8695","18","18","83.14","48.39","2","6","Alteración de fechas de aplicación","10","USO INTERNO","Crítico","56.2","Escalado a fiscal","AUD-915","Aprobación ética emitida retroactivamente."
"RBF-00069","2016-03-30","2016-05-26","Dra. Singh, A.","Comité Ético NEST-Arklay","Ensayo T-002","Facility Salazar","SUJ-1364","44","63","91.02","75.63","3","3","Supresión de muestra contaminada","16","RESTRINGIDO","Bajo","36.6","Archivado","AUD-398","Datos duplicados de ensayo anterior."
"RBF-00070","2012-11-18","2014-10-23","Dr. Yamamoto, K.","Comité de Revisión Umbrella Corp.","Proyecto Némesis","Facility Salazar","SUJ-6185","34","48","93.44","72.84","2","11","Manipulación de estadística de éxito","3","ULTRA SECRETO","Medio","67.5","Pendiente","AUD-822","Consentimiento firmado bajo coerción."
"RBF-00071","2018-03-11","2019-02-12","Dra. Petrova, I.","Comité de Revisión Umbrella Corp.","Protocolo G-Virus","Satellite Lab B-17","SUJ-7188","74","85","75.81","47.93","3","7","Falsificación de firma de consentimiento","12","USO INTERNO","Bajo","35.7","Fraude confirmado","AUD-639","Resultados estadísticos inconsistentes."
"RBF-00072","2015-04-15","2015-12-11","Dra. Reed, L.","Comité de Revisión Externe BSAA","Proyecto Némesis","Raccoon City Hospital","SUJ-7394","62","77","93.66","55.52","3","7","Omisión de efectos adversos","3","RESTRINGIDO","Bajo","71.6","Fraude confirmado","AUD-812","Consentimiento firmado bajo coerción."
"RBF-00073","2021-04-20","2022-11-01","Dra. Petrova, I.","Panel de Cumplimiento Viral","Ensayo RE-Cadou","Facility Salazar","SUJ-6282","14","20","86.05","68.05","4","9","Omisión de efectos adversos","9","USO INTERNO","Medio","84.4","En revisión","AUD-608","Testigo externo reporta irregularidades."
"RBF-00074","2019-01-18","2020-10-30","Dra. Novak, H.","Junta Regulatoria Nemesis Div.","Ensayo RE-Cadou","Lab Urbano RC-04","SUJ-2601","48","61","93.96","41.23","1","7","Fabricación de consentimiento informado","7","ULTRA SECRETO","Alto","21.6","En revisión","AUD-628","Protocolo no seguido, datos fabricados."
"RBF-00075","2018-12-08","2020-06-11","Dra. Spencer, A.","Panel Clínico Raccoon City","Estudio Uroboros","Spencer Estate Lab","SUJ-9001","15","23","83.21","53.61","3","6","Fabricación de consentimiento informado","16","CONFIDENCIAL","Alto","71.3","En revisión","AUD-535","Resultados estadísticos inconsistentes."
"RBF-00076","2021-12-05","2022-07-16","Dr. Marcus, J.","Comité de Ética Médica T-Sector","Estudio Megamycete","Mobile Unit Delta","SUJ-2639","72","80","81.86","30.36","0","6","Falsificación de aprobación ética","1","ULTRA SECRETO","Alto","63.5","Pendiente","AUD-123","Hash de documento no coincide con archivo original."
"RBF-00077","2021-08-30","2022-11-04","Dra. Vega, N.","Comité de Revisión Umbrella Corp.","Investigación Las Plagas Fase III","NEST Underground","SUJ-4373","78","87","95.79","49.57","0","4","Manipulación de estadística de éxito","15","ULTRA SECRETO","Bajo","91.5","Archivado","AUD-177","Protocolo no seguido, datos fabricados."
"RBF-00078","2016-01-21","2016-12-18","Dr. Ashford, E.","Junta Regulatoria Nemesis Div.","Ensayo T-002","Raccoon City Hospital","SUJ-6504","62","70","78.53","33.31","1","6","Falsificación de aprobación ética","2","USO INTERNO","Crítico","72.2","Escalado a fiscal","AUD-467","Hash de documento no coincide con archivo original."
"RBF-00079","2018-06-22","2020-05-13","Dra. Singh, A.","Panel de Cumplimiento Viral","Ensayo RE-Cadou","Lab Urbano RC-04","SUJ-9138","40","55","93.95","54.68","3","6","Omisión de efectos adversos","16","ULTRA SECRETO","Medio","15.6","En revisión","AUD-163","Hash de documento no coincide con archivo original."
"RBF-00080","2014-02-26","2014-05-22","Dr. Wesker, A.","Comité de Ética Médica T-Sector","Investigación Las Plagas Fase III","Raccoon City Hospital","SUJ-9237","80","87","84.58","44.51","1","12","Manipulación de estadística de éxito","7","ULTRA SECRETO","Medio","53.3","Pendiente","AUD-627","Protocolo no seguido, datos fabricados."
"RBF-00081","2019-11-25","2020-08-26","Dra. Reed, L.","Panel de Cumplimiento Viral","Estudio Uroboros","Satellite Lab B-17","SUJ-6563","82","83","85.37","44.85","4","11","Falsificación de firma de consentimiento","14","ULTRA SECRETO","Crítico","84.9","En revisión","AUD-827","Consentimiento firmado bajo coerción."
"RBF-00082","2012-10-11","2014-03-31","Dr. Wesker, A.","Panel de Cumplimiento Viral","Prueba NE-α","Mobile Unit Delta","SUJ-3730","53","70","80.02","39.87","0","8","Falsificación de aprobación ética","2","ULTRA SECRETO","Alto","35.3","Fraude confirmado","AUD-883","Sujeto registrado fallecido antes del ensayo."
"RBF-00083","2012-07-06","2013-09-04","Dr. Birkin, W.","Comité Ético NEST-Arklay","Protocolo G-Virus","Mobile Unit Delta","SUJ-5907","24","41","86.9","49.75","2","3","Falsificación de aprobación ética","1","CONFIDENCIAL","Medio","99","Archivado","AUD-752","Resultados estadísticos inconsistentes."
"RBF-00084","2019-06-01","2019-10-24","Dra. Okafor, B.","Comité Ético NEST-Arklay","Fase Gamma-Licker","Spencer Estate Lab","SUJ-6952","26","37","80.46","26","0","11","Manipulación de estadística de éxito","16","CONFIDENCIAL","Medio","91.2","Fraude confirmado","AUD-920","Consentimiento firmado bajo coerción."
